Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
96,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to picture ['region_9', 'region_1'] 905.309
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2666272,9331952
97,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_9'] 905.309
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_2'] 559.143
",0,journal,3,2,1,0.02,2654746,9291611
98,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_9'] 905.309
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_3'] 321.011
",0,journal,3,2,1,0.04,2416614,8458149
99,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_9'] 905.309
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_4'] 377.531
",0,journal,3,2,1,0.02,2473134,8655.969000000001
100,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_10'] 996.740
Take Image ['region_10'] 285.714
",0,journal,2,1,1,0.02,2186034,7651.119000000001
101,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to picture ['region_10', 'region_1'] 996.740
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.04,2795843,9785.450499999999
102,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_10'] 996.740
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_2'] 596.994
",0,journal,3,2,1,0.02,2784.0280000000002,9744.098000000002
103,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_10'] 996.740
Take Image ['region_10'] 285.714
Go to base ['region_10', 'base_3'] 216.990
",0,journal,3,2,1,0.02,2404.0240000000003,8414084
104,"Go to picture ['base_1', 'region_10'] 608.809
Take Image ['region_10'] 285.714
Go to picture ['region_10', 'region_1'] 996.740
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_4'] 607.420
",0,journal,3,2,1,0.02,2785397,9748.8895
105,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_11'] 962.086
Take Image ['region_11'] 285.714
",0,journal,2,1,1,0.02,2151.38,7529.83
